Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00084647910851246,0.00978916757496985,0.344753325406094,0,0,0,5.09802085015176,0.0213914677302785,-9.32121685832386E-05,2.18297110088875E-05,0.020094368938593,-0.000213141208765021,0.0220967466492654,0,0,0,0,0,0,package://Aloha/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://Aloha/meshes/base_link.STL,,0 Aloha.STEP-1/9-1 底部舵机安装架1.stp_1.STEP-1;0 Aloha.STEP-1/8-1 底部舵机1.stp_1.STEP-1;0 Aloha.STEP-1/13-1 全向轮联轴器1.stp_1.STEP-1;0 Aloha.STEP-1/12-1 轮盖1.stp_1.STEP-1;0 Aloha.STEP-1/19-1 轴承盖1.stp_1.STEP-1;0 Aloha.STEP-1/14-1 全向轮轴1.stp_1.STEP-1;0 Aloha.STEP-1/7-1 侧盖1.stp_1.STEP-1;0 Aloha.STEP-1/13-1 全向轮联轴器1.stp_1.STEP-2;0 Aloha.STEP-1/9-1 底部舵机安装架1.stp_1.STEP-2;0 Aloha.STEP-1/8-1 底部舵机1.stp_1.STEP-2;0 Aloha.STEP-1/12-2 轮盖2.stp_1.STEP-1;0 Aloha.STEP-1/19-2 轴承盖2.stp_1.STEP-1;0 Aloha.STEP-1/14-1 全向轮轴1.stp_1.STEP-2;0 Aloha.STEP-1/7-2 侧盖2.stp_1.STEP-1;0 Aloha.STEP-1/12-3 轮盖3.stp_1.STEP-1;0 Aloha.STEP-1/8-1 底部舵机1.stp_1.STEP-3;0 Aloha.STEP-1/13-1 全向轮联轴器1.stp_1.STEP-3;0 Aloha.STEP-1/19-3 轴承盖3.stp_1.STEP-1;0 Aloha.STEP-1/9-1 底部舵机安装架1.stp_1.STEP-3;0 Aloha.STEP-1/7-3 侧盖3.stp_1.STEP-1;0 Aloha.STEP-1/14-1 全向轮轴1.stp_1.STEP-3;0 Aloha.STEP-1/10-1 底部上板.stp_1.STEP-1;0 Aloha.STEP-1/10-2 底部下板.stp_1.STEP-1;0 Aloha.STEP-1/6 主杆.stp_1.STEP-1;0 Aloha.STEP-1/1 背屏.stp_1.STEP-1;0 Aloha.STEP-1/20 顶部摄像头架.stp_1.STEP-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,-5.2748796340582E-05,0.0157741139634841,-1.84430449176598E-07,0,0,0,0.19481896281763,5.08892096796909E-05,3.60517539503935E-11,2.69071538213238E-11,9.36352341038526E-05,-4.45292183145822E-12,5.08902241573002E-05,0,0,0,0,0,0,package://Aloha/meshes/wheel1.STL,1,1,1,1,0,0,0,0,0,0,package://Aloha/meshes/wheel1.STL,,0 Aloha.STEP-1/11-1 全向轮1.stp_1.STEP-1,坐标系1,基准轴1,wheel1,continuous,-0.1538,0.091161,0.0422,0,0,-2.1099,base_link,0,-1,0,,,,,,,,,,,,
wheel2,-6.44947300230958E-06,0.0157740656100239,-5.23561600380557E-05,0,0,0,0.194818035649416,5.08900024988905E-05,-1.20873751512226E-12,-2.02779746634605E-10,9.36349961033418E-05,5.35464291484247E-11,5.08890471060775E-05,0,0,0,0,0,0,package://Aloha/meshes/wheel2.STL,1,1,1,1,0,0,0,0,0,0,package://Aloha/meshes/wheel2.STL,,0 Aloha.STEP-1/11-1 全向轮1.stp_1.STEP-2,坐标系2,基准轴2,wheel2,continuous,0.15563,0.087993,0.0422,0,0,2.086,base_link,0,-1,0,,,,,,,,,,,,
wheel3,0.000217589099159171,0.0157726511952609,-4.56400979924609E-05,0,0,0,0.194818526867466,5.08999061873463E-05,6.61616290797392E-07,-7.54847308347756E-10,9.36248071320913E-05,7.68531292230303E-11,5.08898375022648E-05,0,0,0,0,0,0,package://Aloha/meshes/wheel3.STL,1,1,1,1,0,0,0,0,0,0,package://Aloha/meshes/wheel3.STL,,0 Aloha.STEP-1/11-1 全向轮1.stp_1.STEP-3,坐标系3,基准轴3,wheel3,continuous,-0.0020354,-0.17875,0.0422,0,0,0,base_link,-0.015476,-0.99988,0,,,,,,,,,,,,
vertical_link,-0.000281866140488002,0.00785823838067955,0.630167237552405,0,0,0,1.13349901272872,0.0010858428483705,2.13306252507509E-05,-1.00486949790508E-05,0.00311024638919642,-2.96414805022489E-05,0.0024076600321941,0,0,0,0,0,0,package://Aloha/meshes/vertical_link.STL,1,1,1,1,0,0,0,0,0,0,package://Aloha/meshes/vertical_link.STL,,0 Aloha.STEP-1/4 z轴舵机盖.stp_1.STEP-1;0 Aloha.STEP-1/5 z轴滑动体.stp_1.STEP-1;0 Aloha.STEP-1/2 z轴齿轮.stp_1.STEP-1;0 Aloha.STEP-1/3 z轴舵机.stp_1.STEP-1;0 Aloha.STEP-1/16 横梁.stp_1.STEP-1;0 Aloha.STEP-1/17-1 左肩.stp_1.STEP-1;0 Aloha.STEP-1/17-2 右肩.stp_1.STEP-1;0 Aloha.STEP-1/15 胸部连接件.stp_1.STEP-1;0 Aloha.STEP-1/18 胸部摄像头座.stp_1.STEP-1,坐标系4,基准轴4,vertical_move,prismatic,-0.001045,-0.067891,0.064,0,0,0,base_link,0,1.8801E-05,1,0,0,0,0,,,,,,,,
left_base,-6.47167646904735E-05,0.0317790321031433,0.0165976346519832,0,0,0,0.198100409133884,0.000137416766071961,-1.82517377942839E-09,-5.13449093551759E-07,0.000177539441067423,2.132896783062E-05,0.0001503685199807,0,0,0,0,0,0,package://Aloha/meshes/left_base.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Aloha/meshes/left_base.STL,,21 SO101 Assembly-2/21 SO101 Assembly.step-1/Base_SO101_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Base_08p_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/WaveShare_Mounting_Plate_SO101_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Сборка14_7.step-1,Origin_left_base,,left_base,fixed,0.15726,0.026474,0.68821,1.5721,0,-0.01193,vertical_link,0,0,0,,,,,,,,,,,,
left_link1,0.000121106970690763,-0.0313187111675913,0.0119674003207884,0,0,0,0.124705001245189,5.98529439039593E-05,4.23009347760015E-08,4.23863604085012E-07,5.56041421022497E-05,4.7788290550065E-06,3.02532949332968E-05,0,0,0,0,0,0,package://Aloha/meshes/left_link1.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Aloha/meshes/left_link1.STL,,21 SO101 Assembly-2/21 SO101 Assembly.step-1/Rotation_Pitch_SO101_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Motor_holder_SO101_Base_2.step-1/Motor_holder_SO101_Base-2_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Сборка14_1_2.step-1,LC1,L1,left_joint1,revolute,-9.9427E-05,0.065387,0.045495,-1.5721,0.01193,-1.5058E-05,left_base,0.00011908,0.0099879,-0.99995,0,0,0,0,,,,,,,,
left_link2,0.019956873522225,0.0742856296056551,0.00422113879640418,0,0,0,0.159995189384934,0.000151783987720491,1.09262655684205E-06,1.21662497181061E-07,5.76463942492128E-05,7.49535020674174E-07,0.000186896896161095,0,0,0,0,0,0,package://Aloha/meshes/left_link2.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Aloha/meshes/left_link2.STL,,21 SO101 Assembly-2/21 SO101 Assembly.step-1/Upper_arm_SO101_2.step-1/Upper_arm_SO101-0_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Сборка14_2_2.step-1,LC2,L2,left_joint2,revolute,-0.0172799395963306,-0.0311811002780606,0.0539361523404946,0,0,0,left_link1,0.999994864047587,-0.00320379392081127,8.70801950002401E-05,0,0,0,0,,,,,,,,
left_link3,0.0188635530589078,-0.0764818324673495,0.000740365189654368,0,0,0,0.135542971850972,9.79530639893018E-05,7.32525825400078E-07,-1.97978431727559E-07,3.97033329850519E-05,-2.49654893442067E-06,0.000125313695411449,0,0,0,0,0,0,package://Aloha/meshes/left_link3.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Aloha/meshes/left_link3.STL,,21 SO101 Assembly-2/21 SO101 Assembly.step-1/Under_arm_SO101_2.step-1/Under_arm_SO101-1_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Сборка14_3_2.step-1,LC3,L3,left_joint3,revolute,0.0028523,0.11238,0.028829,0,0,0,left_link2,0.99996,-0.0032908,0.0088132,0,0,0,0,,,,,,,,
left_link4,0.0279838202754113,-0.0363068236889853,0.000384829033235112,0,0,0,0.0742878691881685,1.66990659139949E-05,1.97720472060619E-06,-2.54232662541019E-07,2.43741118311199E-05,6.90575207676445E-08,3.14317929408492E-05,0,0,0,0,0,0,package://Aloha/meshes/left_link4.STL,0.964705882352941,0.964705882352941,0.952941176470588,1,0,0,0,0,0,0,package://Aloha/meshes/left_link4.STL,,21 SO101 Assembly-2/21 SO101 Assembly.step-1/Wrist_Roll_Pitch_SO100_2.step-1/Wrist_Roll_Pitch_SO100-4_2.step-1;21 SO101 Assembly-2/21 SO101 Assembly.step-1/Сборка14_4_2.step-1,LC4,L4,left_joint4,revolute,0.00048209729405399,-0.134148581563103,0.00362381075655138,0,0,0,left_link3,0.999774464019127,-0.0121028846500289,0.0174511110940406,0,0,0,0,,,,,,,,
